,Z-Day,X-Day,Y-Day,Common Day,Hybrid,Hybrid Common,Special Bell Schedule,NOTES
Assembly,8:15 - 8:30,8:15 - 8:54&8:45 - 8:54,8:15 - 8:37,8:15-8:27,8:45-8:53,8:45-8:53,8:45-9:10,
1st per.,8:34 - 9:17,8:58 - 9:39,8:41 - 9:23,8:31 - 9:11,8:56-9:34,8:56-9:31,9:15-9:53,
2nd per.,9:21 - 10:04,9:43 - 10:24,9:27 - 10:09,9:15 - 9:55,9:41-10:19,9:38-10:13,9:58-10:36,
3rd per.,10:08 - 10:51,10:28 - 11:09,10:13 - 10:55,9:59 - 10:39,10:26-11:04,10:20-10:55,10:41-11:19,
4th per,10:58 - 11:41,11:16 - 11:57,11:02 - 11:44,10:45 - 11:25,11:14-11:52,11:05-11:40,11:24-12:02,
5th per.,11:45 - 12:27,12:01 - 12:41,11:48 - 12:30,11:29 - 12:09,11:59-12:37,11:47-12:22,12:07-12:45,7th/8th lunch
6th per.,12:31 - 1:13,12:45 - 1:25,12:34 - 1:16,12:13 - 12:53,12:44-1:22,12:29-1:04,12:50-1:28,9th/10th lunch
Common,(none),(none),(none),12:57 - 1:27,(none),1:11-1:36,(none),11th/12th lunch & 7th-10th Common
7th per.,1:17 - 1:59,1:29 - 2:09,1:20 - 2:02,1:31 - 2:11,1:29-2:07,1:43-2:18,1:33-2:12,11th/12th lunch & 7th/8th P.E.
8th per.,2:03 - 2:46,2:13 - 2:53,2:06 - 2:48,2:15 - 2:55,2:14-2:52,2:25-3:00,2:16-2:55,7th/8th P.E.
9th per.,2:50 - 3:33,2:57 - 3:37,2:52 - 3:34,2:59 - 3:39,2:59-3:37,3:07-3:42,2:59-3:37,only 7th/8th have classes
10th per.,3:37 - 4:20,3:41 - 4:21,3:38 - 4:20,3:43 - 4:23,3:42-4:20,3:47-4:22,3:42-4:20,only 7th/8th have classes
